EmployerName,EmployerSize,Section,DiffMeanPercent
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,250 to 499,Q,1.008
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,250 to 499,Q,1.008
BUPA INSURANCE SERVICES LIMITED,1000 to 4999,N,26.6
BUPA OCCUPATIONAL HEALTH LIMITED,250 to 499,Q,25.3287
BURBERRY LIMITED,1000 to 4999,C,39.9646
BURBERRY LIMITED,1000 to 4999,C,39.9646
BURBERRY LIMITED,1000 to 4999,G,39.9646
BURBERRY LIMITED,1000 to 4999,G,39.9646
BURGER & LOBSTER RESTAURANT GROUP LIMITED,250 to 499,K,8.659
BUSABA EATHAI LIMITED,250 to 499,I,-5.76
Business In The Community,250 to 499,S,0.3
BUTTERWORTHS LIMITED,1000 to 4999,J,27.3735
BYRNE BROS. (FORMWORK) LIMITED,250 to 499,F,43.5
BYRON HAMBURGERS LIMITED,1000 to 4999,I,-0.4061
BYWATERS (LEYTON) LIMITED,250 to 499,E,-22.195
C. Hoare & Co.,250 to 499,K,33.047999999999995
C.E.X. LIMITED,1000 to 4999,J,17.534
CABANA RESTAURANTS LIMITED,250 to 499,I,16.506
CABLE NEWS INTERNATIONAL LIMITED,250 to 499,J,-10.9573
CACI LIMITED,500 to 999,J,30.029999999999998
CACI LIMITED,500 to 999,J,30.029999999999998
CACI LIMITED,500 to 999,J,30.029999999999998
CACI LIMITED,500 to 999,M,30.029999999999998
CAFE ROYAL MANAGEMENT LIMITED,250 to 499,I,-20.482
CAFE ROYAL MANAGEMENT LIMITED,250 to 499,I,-20.482
CAFE ROYAL MANAGEMENT LIMITED,250 to 499,I,-20.482
CAFFE CONCERTO PAYE LIMITED,250 to 499,N,-4.752
CAFFE NERO GROUP HOLDINGS LTD,"5000 to 19,999",M,13.1781
CALIBRE RECRUITMENT LIMITED,500 to 999,N,-13.1
CAMBIAN ASPERGER SYNDROME SERVICES LIMITED,250 to 499,S,4.716
CAMBIAN AUTISM SERVICES LIMITED,500 to 999,P,1.0724
CAMBIAN CHILDCARE LIMITED,1000 to 4999,Q,2.4814
CAMBIAN WHINFELL SCHOOL LIMITED,500 to 999,P,7.3553999999999995
Camden and Islington NHS Foundation Trust,1000 to 4999,Q,21.4848
CAMERON FLOW CONTROL TECHNOLOGY (UK) LIMITED,250 to 499,C,59.36000000000001
CAN (OFFSHORE) LIMITED,250 to 499,B,60.39
CAN (OFFSHORE) LIMITED,250 to 499,F,60.39
CAN (OFFSHORE) LIMITED,250 to 499,M,60.39
CANARY WHARF CONTRACTORS LIMITED,250 to 499,F,62.8056
CANARY WHARF GROUP PLC,1000 to 4999,N,34.962199999999996
CANARY WHARF MANAGEMENT LIMITED,500 to 999,L,3.016
Cancer Research UK,1000 to 4999,Q,23.3002
CANON EUROPE LIMITED,500 to 999,C,60.496
CANOPIUS SERVICES LIMITED,250 to 499,S,49.125699999999995
CAPITA BIRMINGHAM LIMITED,250 to 499,S,2.2529000000000003
CAPITA BUSINESS SERVICES LTD,"5000 to 19,999",J,53.2968
CAPITA COMMERCIAL INSURANCE SERVICES LIMITED,250 to 499,K,-1.4003000000000003
CAPITA COMMERCIAL INSURANCE SERVICES LIMITED,250 to 499,K,-1.4003000000000003
CAPITA CUSTOMER MANAGEMENT LIMITED,"5000 to 19,999",J,15.3504
CAPITA CUSTOMER MANAGEMENT LIMITED,"5000 to 19,999",K,15.3504
CAPITA EMPLOYEE BENEFITS (CONSULTING) LIMITED,250 to 499,K,43.4304
CAPITA EMPLOYEE BENEFITS LIMITED,1000 to 4999,K,29.744
CAPITA EMPLOYEE BENEFITS LIMITED,1000 to 4999,K,29.744
CAPITA EMPLOYEE BENEFITS LIMITED,1000 to 4999,K,29.744
CAPITA INSURANCE SERVICES LIMITED,500 to 999,N,14.940000000000001
CAPITA LIFE & PENSIONS REGULATED SERVICES LIMITED,1000 to 4999,K,28.497000000000003
CAPITA LIFE & PENSIONS SERVICES LIMITED,250 to 499,K,46.2128
Capita PLC,250 to 499,J,49.593599999999995
Capita PLC,250 to 499,M,49.593599999999995
Capita PLC,250 to 499,N,49.593599999999995
CAPITA PROPERTY AND INFRASTRUCTURE LIMITED,1000 to 4999,M,41.85
CAPITA RESOURCING LIMITED,1000 to 4999,N,43.548
CAPITA RETAIL FINANCIAL SERVICES LIMITED,500 to 999,K,-5.346
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,1000 to 4999,C,27.9483
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,1000 to 4999,C,27.9483
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,1000 to 4999,J,27.9483
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,1000 to 4999,N,27.9483
CAPITA SOUTHAMPTON LIMITED,250 to 499,S,39.974000000000004
CAPITA TRAVEL AND EVENTS LIMITED,500 to 999,N,39.5458
CAPITAL ARCHES GROUP LIMITED,1000 to 4999,I,5.1954
CAPITAL HILL HOTELS GROUP LONDON LIMITED,250 to 499,I,2.0739
CAPRICE HOLDINGS LIMITED,500 to 999,I,-1.1880000000000002
CAR GIANT LIMITED,500 to 999,G,15.6354
Care Quality Commission,1000 to 4999,O,0.9
CAREER LEGAL LIMITED,250 to 499,N,5.550000000000001
CARLTON TOWER LIMITED(THE),250 to 499,I,25.989600000000003
CARLUCCIO'S LIMITED,1000 to 4999,G,-2.2699999999999996
CARLUCCIO'S LIMITED,1000 to 4999,G,-2.2699999999999996
CARLUCCIO'S LIMITED,1000 to 4999,I,-2.2699999999999996
CARTER JONAS SERVICE COMPANY,500 to 999,L,37.4747
CARTER JONAS SERVICE COMPANY,500 to 999,L,37.4747
CASKADE CATERERS LIMITED,1000 to 4999,I,-3.96
CASNA LIMITED,500 to 999,N,2.5200000000000005
CASNA LIMITED,500 to 999,N,2.5200000000000005
CASPIAN FOOD RETAILERS LIMITED,500 to 999,I,-1.2264
CASPIAN FOOD RETAILERS LIMITED,500 to 999,I,-1.2264
CASPIAN FOOD SERVICES LIMITED,1000 to 4999,I,2.0412
CASPIAN FOOD SERVICES LIMITED,1000 to 4999,I,2.0412
CASUAL DINING SERVICES LIMITED,"5000 to 19,999",I,11.9396
CATCH 22 CHARITY LIMITED,500 to 999,Q,10.92
CATERING UK LIMITED,250 to 499,I,-3.0
CATH KIDSTON LIMITED,1000 to 4999,G,38.88
Catholic Agency For Overseas Development,250 to 499,Q,9.1
CAVENDISH NUCLEAR LIMITED,1000 to 4999,N,15.9512
CB&I UK LIMITED,Less than 250,F,55.5972
CB&I UK LIMITED,Less than 250,M,55.5972
CBRE CORPORATE OUTSOURCING LIMITED,500 to 999,L,59.131600000000006
CBRE GWS LIMITED,"5000 to 19,999",N,17.9694
CBRE LIMITED,1000 to 4999,F,60.425200000000004
CBRE LIMITED,1000 to 4999,L,60.425200000000004
CBRE LIMITED,1000 to 4999,L,60.425200000000004
CBRE MANAGED SERVICES LIMITED,"5000 to 19,999",N,29.9744
CBRE MANAGEMENT SERVICES LIMITED,250 to 499,L,30.674999999999997
CCM FACILITIES LTD,500 to 999,N,1.0062000000000002
CDC GROUP PLC,250 to 499,K,37.5
CDW LIMITED,1000 to 4999,J,52.599599999999995
CEGA GROUP SERVICES LIMITED,250 to 499,Q,9.87
Centaur Media PLC,500 to 999,M,11.375
Central & North West London N H S,"5000 to 19,999",Q,16.53
Central London Community Healthcare Nhs Trust,1000 to 4999,Q,10.4535
CENTRAL YMCA TRADING LIMITED,250 to 499,R,-9.419999999999998
Centrepoint Soho,250 to 499,P,9.5497
Centrepoint Soho,250 to 499,Q,9.5497
CENTURYCOMM LIMITED,250 to 499,C,0.7155000000000001
CENTURYCOMM LIMITED,250 to 499,J,0.7155000000000001
CENTURYCOMM LIMITED,250 to 499,J,0.7155000000000001
CENTURYLINK COMMUNICATIONS UK LIMITED,1000 to 4999,J,33.8673
CEPAC LIMITED,500 to 999,C,29.007999999999996
CERNER LIMITED,500 to 999,J,15.6768
CFC UNDERWRITING LIMITED,250 to 499,K,27.6627
CGI IT UK LIMITED,"5000 to 19,999",J,18.683
CGN RESTAURANTS LIMITED,500 to 999,G,4.469399999999999
Ch2M Hill United Kingdom,250 to 499,M,43.230000000000004
CHAMBERLAINE CLEANING SERVICES LIMITED,250 to 499,S,6.3
CHAMPNEYS HENLOW LIMITED,250 to 499,I,41.26200000000001
CHANEL LIMITED,1000 to 4999,G,40.8575
CHANEL LIMITED,1000 to 4999,G,40.8575
CHANEL LIMITED,1000 to 4999,G,40.8575
CHANEL LIMITED,1000 to 4999,G,40.8575
CHANNEL 5 BROADCASTING LIMITED,250 to 499,J,20.221
Channel Four Television Corporation,500 to 999,J,31.527
CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,500 to 999,S,24.4795
CHARLES STANLEY & CO. LIMITED,500 to 999,K,64.889
Charles Taylor PLC,500 to 999,M,75.8204
CHARLES TYRWHITT SHIRTS LIMITED,500 to 999,G,12.6759
CHARLOTTE TILBURY BEAUTY LIMITED,500 to 999,G,5.1352
CHARLTON ATHLETIC FOOTBALL COMPANY LIMITED,250 to 499,R,98.6953
Chase De Vere Ifa Group PLC,500 to 999,K,45.54
CHAUCER SYNDICATES LIMITED,250 to 499,K,62.915400000000005
CHAUCER SYNDICATES LIMITED,250 to 499,K,62.915400000000005
CHC SCOTIA LIMITED,250 to 499,H,50.037400000000005
CHEADLE ROYAL HEALTHCARE LIMITED,500 to 999,Q,18.59
Chelsea & Westminster Healthcare N H S Trust,"5000 to 19,999",Q,19.1766
CHELSEA FC FOUNDATION,250 to 499,R,-80.8
CHELSEA FOOTBALL CLUB LIMITED,1000 to 4999,R,165.48420000000002
CHEQUERS CONTRACT SERVICES LIMITED,500 to 999,N,3.8
CHEQUERS CONTRACT SERVICES LIMITED,500 to 999,N,3.8
CHEQUERS CONTRACT SERVICES LIMITED,500 to 999,N,3.8
CHEQUERS CONTRACT SERVICES LIMITED,500 to 999,N,3.8
Cherry Lewis Taylor,250 to 499,I,1.7745
CHESTERTON GLOBAL LIMITED,250 to 499,L,32.199999999999996
CHEVAL RESIDENCES LIMITED,Less than 250,L,-3.9762
CHEVRON ENERGY LIMITED,1000 to 4999,N,34.2067
CHIRON COMMUNICATIONS LIMITED,250 to 499,J,20.349
CHRISTIAN DIOR UK LIMITED,250 to 499,G,29.248800000000003
CHRISTIAN DIOR UK LIMITED,250 to 499,G,29.248800000000003
CHRISTIE MANSON & WOODS LIMITED,500 to 999,K,77.2038
CHRISTIE MANSON & WOODS LIMITED,500 to 999,M,77.2038
CHRISTIE MANSON & WOODS LIMITED,500 to 999,N,77.2038
CHRYSAOR E&P SERVICES  LIMITED,250 to 499,B,41.5976
CHRYSAOR E&P SERVICES  LIMITED,250 to 499,B,41.5976
CHUBB SERVICES UK LIMITED,1000 to 4999,N,56.34179999999999
CHURCHILL GROUP LIMITED,250 to 499,I,8.1816
CIGNA EUROPEAN SERVICES (UK) LIMITED,1000 to 4999,K,44.822
CIGNA INSURANCE SERVICES (EUROPE) LIMITED,250 to 499,K,24.129
CINEWORLD CINEMAS LIMITED,"5000 to 19,999",J,8.975999999999999
CIP DATA COLLECTION LIMITED,250 to 499,N,16.7076
CIRCLE CARE AND SUPPORT LIMITED,500 to 999,Q,6.8503
CIRCLE HOSPITAL (BATH) LTD,250 to 499,Q,10.3124
CIRCLE HOSPITAL (BATH) LTD,250 to 499,Q,10.3124
CIRCLE HOSPITAL (READING) LIMITED,250 to 499,Q,12.247499999999999
CIRCLE HOSPITAL (READING) LIMITED,250 to 499,Q,12.247499999999999
CIRCLE HOSPITAL (READING) LIMITED,250 to 499,Q,12.247499999999999
CIRCLE NOTTINGHAM LIMITED,500 to 999,Q,56.721599999999995
CIRCLE NOTTINGHAM LIMITED,500 to 999,Q,56.721599999999995
CIRCLE NOTTINGHAM LIMITED,500 to 999,Q,56.721599999999995
CIRRUS INNS LIMITED,500 to 999,I,10.267600000000002
CIRRUS INNS LIMITED,500 to 999,I,10.267600000000002
CIRRUS INNS LIMITED,500 to 999,I,10.267600000000002
Cis Security Ltd,1000 to 4999,N,-5.28
CISION GROUP LIMITED,500 to 999,J,8.151
CITIGROUP GLOBAL MARKETS LIMITED,1000 to 4999,K,81.79540000000001
CITY AND COUNTY HEALTHCARE GROUP LIMITED,1000 to 4999,M,52.154
City Of London Academies Trust,500 to 999,P,22.105300000000003
City Of London Academies Trust,500 to 999,P,22.105300000000003
City of London Corporation,1000 to 4999,O,7.2448000000000015
City of London Police,500 to 999,O,3.198
CITY RESPONSE LIMITED,500 to 999,F,17.222
CITY RESPONSE LIMITED,500 to 999,F,17.222
CITY RESPONSE LIMITED,500 to 999,F,17.222
CITY RESPONSE LIMITED,500 to 999,F,17.222
CITY WEST SUPPORT SERVICES LIMITED,250 to 499,N,17.395
City Westminster College,500 to 999,P,7.891
"City, University Of London",1000 to 4999,P,16.993199999999998
CITYGATE AUTOMOTIVE LIMITED,500 to 999,G,14.975999999999999
CITYGATE AUTOMOTIVE LIMITED,500 to 999,G,14.975999999999999
CITYGATE AUTOMOTIVE LIMITED,500 to 999,G,14.975999999999999
CITYGATE AUTOMOTIVE LIMITED,500 to 999,G,14.975999999999999
CITYWEST HOMES LIMITED,250 to 499,L,15.966600000000001
CIVICA UK LIMITED,1000 to 4999,J,44.303200000000004
CLARANET LIMITED,500 to 999,J,17.802
CLARIDGE'S HOTEL LIMITED,500 to 999,I,4.543
CLARINS (U.K.) LIMITED,1000 to 4999,G,57.4
CLARION EVENTS LIMITED,1000 to 4999,N,25.291200000000003
CLARION RESPONSE LIMITED,250 to 499,F,3.048
CLARIVATE ANALYTICS (UK) LIMITED,250 to 499,J,27.400000000000002
CLASS 1 PERSONNEL LIMITED,250 to 499,N,-0.8
CLASSIC EDUCATION LIMITED,250 to 499,N,1.8240000000000016
CLEAR CHANNEL UK LIMITED,500 to 999,M,-10.962000000000002
CLECE CARE SERVICES LIMITED,250 to 499,H,-1.112
CLECE CARE SERVICES LIMITED,250 to 499,N,-1.112
CLECE CARE SERVICES LIMITED,250 to 499,Q,-1.112
CLECE CARE SERVICES LIMITED,250 to 499,Q,-1.112
CLESHAR CONTRACT SERVICES LIMITED,500 to 999,N,6.6
CLH PIPELINE SYSTEM (CLH-PS) LTD,250 to 499,H,8.812800000000001
Clic Sargent Cancer Care For Children,250 to 499,M,8.7
Clic Sargent Cancer Care For Children,250 to 499,Q,8.7
Clic Sargent Cancer Care For Children,250 to 499,Q,8.7
CLIFFORD CHANCE LONDON LIMITED,1000 to 4999,N,32.373
CLOSE ASSET MANAGEMENT HOLDINGS LIMITED,500 to 999,M,68.02829999999999
CLOSE BROTHERS LIMITED,1000 to 4999,K,68.5325
CLOUDREACH EUROPE LIMITED,250 to 499,J,28.534
CLYDE UK SERVICES COMPANY,1000 to 4999,N,36.542500000000004
CMC Markets PLC,500 to 999,K,46.879
CMGRP UK LIMITED,250 to 499,M,20.1
CMS CAMERON MCKENNA NABARRO OLSWANG SERVICES LIMITED,1000 to 4999,M,27.986399999999996
CMS CAMERON MCKENNA NABARRO OLSWANG SERVICES LIMITED,1000 to 4999,N,27.986399999999996
CNA SERVICES (UK) LIMITED,250 to 499,N,41.695
CNOOC PETROLEUM EUROPE LIMITED,500 to 999,B,28.352300000000003
COACH STORES LIMITED,250 to 499,G,12.398500000000002
COACH STORES LIMITED,250 to 499,G,12.398500000000002
COACH STORES LIMITED,250 to 499,G,12.398500000000002
COBALT GROUND SOLUTIONS LIMITED,500 to 999,H,1.1033
COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED,1000 to 4999,C,5.4222
COFFEE #1 LTD,500 to 999,G,3.8
COGNIZANT WORLDWIDE LIMITED,"5000 to 19,999",J,23.681599999999996
COGNIZANT WORLDWIDE LIMITED,"5000 to 19,999",J,23.681599999999996
COIN FURNITURE LIMITED,250 to 499,G,10.92
COLAS RAIL LIMITED,1000 to 4999,F,24.345000000000002
Colfe's School,250 to 499,P,10.48
Colfe's School,250 to 499,P,10.48
COLLIERS INTERNATIONAL PROPERTY CONSULTANTS LIMITED,500 to 999,L,74.90750000000001
COLLINS RIVER ENTERPRISES LIMITED,250 to 499,H,20.6417
COLLINSON INTERNATIONAL LIMITED,500 to 999,M,42.64810000000001
Colt Technology Services,1000 to 4999,J,32.338
COLUMBIA PICTURES CORPORATION LIMITED,250 to 499,J,37.6832
COLUMBIA PICTURES CORPORATION LIMITED,250 to 499,J,37.6832
COMMUNITY RESOURCING LIMITED,250 to 499,N,6.0049
CONCUR TECHNOLOGIES (UK) LIMITED,500 to 999,J,67.6547
CONDE NAST PUBLICATIONS LIMITED(THE),500 to 999,J,39.742000000000004
CONGREGATION OF THE LITTLE SISTERS OF THE POOR TRUSTEE COMPANYLIMITED(THE),500 to 999,S,4.6
CONOCOPHILLIPS (U.K.) LIMITED,500 to 999,B,16.117
Conservative Campaign Headquarters,250 to 499,S,1.6215
CONSULTANT CLEANERS LIMITED,500 to 999,N,6.593
Consumers' Association,250 to 499,M,-8.0028
Consumers' Association,250 to 499,S,-8.0028
CONTROL RISKS GROUP LIMITED,250 to 499,N,48.669999999999995
CORAL RACING LIMITED,"5000 to 19,999",R,25.606
CORBIN & KING RESTAURANT GROUP LIMITED,500 to 999,K,-3.3824999999999994
CORBIN & KING RESTAURANT GROUP LIMITED,500 to 999,M,-3.3824999999999994
CORDANT CLEANING LIMITED,1000 to 4999,N,8.8893
CORDANT PEOPLE LIMITED,1000 to 4999,N,-12.3352
CORDANT SECURITY LIMITED,1000 to 4999,S,-17.903200000000002
CORE STAFF SERVICES LIMITED,250 to 499,N,28.942
Corporation of Lloyd's,500 to 999,K,25.889899999999997
CORPS OF COMMISSIONAIRES MANAGEMENT LIMITED,1000 to 4999,N,6.364
CORPS OF COMMISSIONAIRES MANAGEMENT LIMITED,1000 to 4999,N,6.364
CORY ENVIRONMENTAL HOLDINGS LIMITED,250 to 499,M,0.30000000000000004
COSINE UK LIMITED,250 to 499,S,29.160000000000004
COTE RESTAURANTS LIMITED,1000 to 4999,I,-0.7098
Coty,1000 to 4999,G,36.1005
COTY UK LIMITED,250 to 499,N,50.1998
COURTAULD INSTITUTE OF ART,250 to 499,P,13.419
COURTAULD INSTITUTE OF ART,250 to 499,P,13.419
COURTAULD INSTITUTE OF ART,250 to 499,P,13.419
COURTAULD INSTITUTE OF ART,250 to 499,R,13.419
COUTTS & COMPANY,1000 to 4999,K,52.447199999999995
COYLE PERSONNEL PLC,250 to 499,N,20.708000000000002
CP PLUS LIMITED,250 to 499,H,-11.88
CPFC LIMITED,1000 to 4999,R,166.6
CPFC LIMITED,1000 to 4999,R,166.6
CPM FIELD MARKETING LIMITED,1000 to 4999,S,16.9302
CPM UNITED KINGDOM LIMITED,500 to 999,S,16.929
CRAWFORD & COMPANY ADJUSTERS (UK) LIMITED,1000 to 4999,K,64.711
Credit Agricole CIB,500 to 999,K,46.665
CREDIT SUISSE (UK) LIMITED,250 to 499,K,53.4625
Credit Suisse International,1000 to 4999,K,87.152
CREDIT SUISSE SECURITIES (EUROPE) LIMITED,1000 to 4999,K,51.678
Creo Retail Marketing Ltd,250 to 499,C,21.8102
CREW CLOTHING CO. LIMITED,500 to 999,G,14.476799999999999
CROWNLEA HIRE AND SALES LIMITED,250 to 499,N,3.8157000000000005
Croydon Council,1000 to 4999,O,2.5056000000000003
Croydon Health Services NHS Trust,1000 to 4999,Q,20.3721
CT PLUS COMMUNITY INTEREST COMPANY,1000 to 4999,H,16.7184
CT PLUS COMMUNITY INTEREST COMPANY,1000 to 4999,H,16.7184
Cummins Ltd.,1000 to 4999,C,0.1774
CUMMINS POWER GENERATION LIMITED,250 to 499,C,27.0528
CURRIE & BROWN UK LIMITED,500 to 999,M,48.472
CURZON WORLD LIMITED,250 to 499,M,4.17
CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LIMITED,1000 to 4999,L,64.275
CYCLE TRAINING UK LIMITED,Less than 250,S,0.0
CYNERGY BANK LIMITED,Less than 250,K,37.1
D&D LONDON LIMITED,1000 to 4999,M,-1.4967
"D.J.SQUIRE & CO.,LIMITED",500 to 999,G,17.784
DAIWA CAPITAL MARKETS EUROPE LIMITED,250 to 499,K,73.0064
DANIEL J. EDELMAN LIMITED,250 to 499,M,31.003
DARWIN LEISURE DEVELOPMENT MANAGEMENT LIMITED,Less than 250,N,5.8
DATALINE SOFTWARE LIMITED,Less than 250,J,56.1
DAVID PHILLIPS HOLDINGS LIMITED,250 to 499,M,-1.9584
DAVIES GROUP LIMITED,1000 to 4999,K,47.9576
DAVIES GROUP LIMITED,1000 to 4999,K,47.9576
DAY GROUP LIMITED,500 to 999,C,-12.196100000000001
DAY GROUP LIMITED,500 to 999,E,-12.196100000000001
DAY GROUP LIMITED,500 to 999,G,-12.196100000000001
DAY GROUP LIMITED,500 to 999,H,-12.196100000000001
Day Lewis PLC,1000 to 4999,G,25.020000000000003
DAYLESFORD ORGANIC LIMITED,250 to 499,G,16.0186
DB GROUP SERVICES (UK) LIMITED,"5000 to 19,999",N,56.65019999999999
DBOI GLOBAL SERVICES (UK) LIMITED,500 to 999,N,14.4979
DC BARS LIMITED,250 to 499,I,4.316
DDB UK LIMITED,500 to 999,M,47.978
DE BEERS UK LIMITED,250 to 499,N,33.0868
DEBENHAMS RETAIL PLC,"20,000 or more",G,30.360400000000002
DEBENHAMS RETAIL PLC,"20,000 or more",G,30.360400000000002
DEBENHAMS RETAIL PLC,"20,000 or more",M,30.360400000000002
DECATHLON UK LIMITED,1000 to 4999,G,13.008600000000001
DELAWARE NORTH COMPANIES (UK) LIMITED,500 to 999,I,11.988000000000001
DELFONT MACKINTOSH THEATRES LIMITED,500 to 999,R,22.291099999999997
DELICE DE FRANCE LIMITED,250 to 499,G,4.804799999999999
DELMON PIZZA LIMITED,250 to 499,I,2.7
DELOITTE MCS LIMITED,1000 to 4999,M,33.798
DELOITTE MCS LIMITED,1000 to 4999,M,33.798
DELOITTE MCS LIMITED,1000 to 4999,N,33.798
DELTA DISPLAY LIMITED,500 to 999,C,23.836000000000002
DELTA OULTON HALL OP CO LIMITED,250 to 499,I,0.4626
DELUXE 142 LIMITED,250 to 499,J,16.383
Deluxe Media Europe Ltd,250 to 499,J,2.1900000000000004
Deluxe Media Europe Ltd,250 to 499,J,2.1900000000000004
DEMIPOWER (1991) LIMITED,250 to 499,I,10.1687
DEMIPOWER LIMITED,1000 to 4999,I,5.255999999999999
DENNIS PUBLISHING LIMITED,250 to 499,J,21.9765
DENTONS UK AND MIDDLE EAST LEGAL SERVICES,1000 to 4999,N,33.2524
DENTSU AEGIS LONDON LIMITED,1000 to 4999,M,45.942
Dentsu Aegis Manchester Limited,1000 to 4999,M,44.604000000000006
"Department for Business, Energy & Industrial Strategy","5000 to 19,999",O,12.649999999999999
"Department for Digital, Culture, Media and Sport",500 to 999,O,9.405
Department For Exiting The European Union,500 to 999,O,8.1675
Department for International Trade,1000 to 4999,O,4.7094000000000005
DESIGNERS GUILD (CORPORATION) LIMITED,250 to 499,M,-11.790000000000001
DEXTERS LONDON LIMITED,1000 to 4999,L,40.066
DHAMECHA FOODS LIMITED,500 to 999,G,-11.257900000000001
DHAMECHA FOODS LIMITED,500 to 999,G,-11.257900000000001
DIAGEO GREAT BRITAIN LIMITED,1000 to 4999,C,-2.4948
DIAGEO GREAT BRITAIN LIMITED,1000 to 4999,C,-2.4948
DIAGEO GREAT BRITAIN LIMITED,1000 to 4999,G,-2.4948
DIAGEO GREAT BRITAIN LIMITED,1000 to 4999,M,-2.4948
DIALOG SEMICONDUCTOR (UK) LIMITED,250 to 499,M,25.74
Diamond Resourcing PLC,500 to 999,N,44.5159
DIESEL (LONDON) LIMITED,250 to 499,G,0.096
DIESEL (LONDON) LIMITED,250 to 499,G,0.096
DIESEL (LONDON) LIMITED,250 to 499,G,0.096
DISCOVERY CORPORATE SERVICES LIMITED,500 to 999,J,18.1864
DISCOVERY CORPORATE SERVICES LIMITED,500 to 999,J,18.1864
DISHOOM LIMITED,500 to 999,I,15.566100000000002
DL INSURANCE SERVICES LIMITED,"5000 to 19,999",K,28.608300000000003
Dogs Trust,1000 to 4999,M,19.659200000000002
DOMESTIC & GENERAL SERVICES LIMITED,1000 to 4999,K,34.1544
DOMESTIC & GENERAL SERVICES LIMITED,1000 to 4999,K,34.1544
DONVAND LIMITED,250 to 499,S,56.5812
DORCHESTER HOTEL LIMITED,500 to 999,I,12.972000000000001
DORIANA LIMITED,250 to 499,I,-6.1462
DORNAN ENGINEERING SERVICES LIMITED,1000 to 4999,M,35.9883
DOUBLE NEGATIVE LIMITED,1000 to 4999,J,8.97
Dow Jones International Ltd.,250 to 499,N,53.89920000000001
DRAKE & MORGAN LIMITED,500 to 999,I,-0.6168
Drapers' Multi-Academy Trust,250 to 499,P,-44.2
Drapers' Multi-Academy Trust,250 to 499,P,-44.2
DS SMITH CORRUGATED PACKAGING LIMITED,250 to 499,C,8.4639
DS SMITH PACKAGING LIMITED,1000 to 4999,C,12.366000000000001
DS SMITH PAPER LIMITED,250 to 499,C,6.8688
DS SMITH PAPER LIMITED,250 to 499,C,6.8688
DS SMITH PLC,250 to 499,M,54.77799999999999
DS SMITH RECYCLING UK LIMITED,250 to 499,E,24.485999999999997
DSG RETAIL LIMITED,"5000 to 19,999",G,9.849599999999999
DTCC EUROPE LIMITED,250 to 499,N,39.35680000000001
DTZ MANAGEMENT SERVICES LIMITED,250 to 499,L,23.7216
DTZ MANAGEMENT SERVICES LIMITED,250 to 499,M,23.7216
DTZ MANAGEMENT SERVICES LIMITED,250 to 499,T,23.7216
DUFF & PHELPS LTD.,250 to 499,N,70.9426
Dulwich College,500 to 999,P,29.2254
DUNE GROUP LIMITED,1000 to 4999,G,89.4761
DUNNHUMBY LIMITED,500 to 999,M,25.0502
DUNWOODY AIRLINE SERVICES LIMITED,Less than 250,H,-0.37649999999999995
E F LANGUAGE SCHOOLS LIMITED,1000 to 4999,P,-1.2676999999999998
E-Act,1000 to 4999,P,3.7
E-Act,1000 to 4999,Q,3.7
EAN SUPPORT SERVICES LTD,Less than 250,N,11.523599999999998
East London NHS Foundation Trust,"5000 to 19,999",Q,16.2955
EBIQUITY ASSOCIATES LIMITED,500 to 999,M,83.6
EBURY PARTNERS LIMITED,250 to 499,K,39.84
ECLECTIC BARS LIMITED,250 to 499,I,17.0754
ECONOMIST NEWSPAPER LIMITED(THE),500 to 999,J,43.0124
ECONOMIST NEWSPAPER LIMITED(THE),500 to 999,J,43.0124
ECONOMIST NEWSPAPER LIMITED(THE),500 to 999,J,43.0124
ECONOMIST NEWSPAPER LIMITED(THE),500 to 999,J,43.0124
EDE & RAVENSCROFT LIMITED,250 to 499,C,15.705200000000001
EDE & RAVENSCROFT LIMITED,250 to 499,C,15.705200000000001
EDE & RAVENSCROFT LIMITED,250 to 499,C,15.705200000000001
EDE & RAVENSCROFT LIMITED,250 to 499,G,15.705200000000001
EDEN BROWN LIMITED,250 to 499,N,11.5101
EDF ENERGY (ENERGY BRANCH) LIMITED,250 to 499,D,11.189
EDF ENERGY (ENERGY BRANCH) LIMITED,250 to 499,M,11.189
EDF ENERGY CUSTOMERS LIMITED,500 to 999,D,-3.2275
EDF ENERGY CUSTOMERS LIMITED,500 to 999,D,-3.2275
EDF ENERGY LIMITED,"5000 to 19,999",D,38.9376
EDF TRADING MARKETS LIMITED,250 to 499,G,47.1376
EDM GROUP LIMITED,500 to 999,J,57.0096
EDWARDIAN LONDON MANAGEMENT SERVICES LIMITED,250 to 499,N,91.8093
EEF LIMITED,250 to 499,S,25.6455
EFFICIO LIMITED,250 to 499,M,30.45
EFG PRIVATE BANK LIMITED,250 to 499,K,59.46960000000001
ELEANOR NURSING AND SOCIAL CARE LIMITED,500 to 999,Q,9.28
